张挥,张昧、张般
张昧,张允格、张台骀
张台骀,张伊源
张伊源,张汉、张侯、张筒竹、张突美
张侯,张长若、张立芳、张敬积
张立方,张乾、张坤
张坤,张敦吾
张敦吾,张郊
张郊,张重熙、张作元
张重熙,张吴光、张仲疑、张叔启
张吴光,张天杰
张天杰,张钦若、张选、张盛、张明
张钦若,张嘉学（桃）、张嘉奇（榆）、张嘉腾、张嘉发、张嘉伟
张榆,张临、张卧
张临,张临（明契）、张卧（升逢）
张宜,张阳
张阳,张安
张安,张考
张考,张承
张承,张喾、张誉
张嚳,张珑、张琦、张珍
张琦,张契、张希
张希,张燧
张燧,张秦
张秦,张仲叔（还）、张仲奏
张还,张纯、张济
张纯,张质
张质,张厢、张康
张康,张启
张启,张立
张立,张瑰
张瑰,张秩、张佐例
张秣,张庭
张庭,张颢
张颢,张洙、张珍、张玉
张洙,张攸逊、张逸
张逸,张都
张都,张助
张助,张顺乙（须）、张顺天
张须,张圆
张圆,张辛肖（肃）、张光侵
张肃,张昶
张昶,张浚、张启
张浚,张惠
张惠,张谊
张谊,张稳、张贤
张稳,张元、张威
张元,张政、张奎
张政,张炳
张炳,张辰、张振
张辰,张本
张本,张燥、张灼、张焰
张灼,张兖
张兖,张灵、张伟
张灵,张宏
张宏,张道、张绅
张道,张仲、张允思
张仲,张逸、张众
张逸,张伯谦
张伯谦,张信明
张信明,张实、张贵
张实,张禹臣、张君臣
张禹臣,张元驭
张元驭,张熙
张熙,张元淑
张元淑,张奉义
张奉义,张高陵
张高陵,张宣武
张宣武,张侯
张侯,张老
张老,张君臣、张善勋
张君臣,张趯
张趯,张骼、张髓、张体
张骼,张进明、张权
张进明,张孟谈
张孟谈,张正朔、张柳朔、张望朔
张柳朔,张开地
张开地,张平（天佑）、张厌（天佐）
张平,张良、张胜
张良,张不疑、张辟疆
张不疑,张典、张高
张典,张默、张黔、张然、张鹿
张默,张金
张金,张乘公；名韆鞦；號萬雅
张乘,张嵩、 张京、张文敬
张嵩,张壯、张纘、张彭、张睦、张述
张壮,张胤
张胤,张皓
张皓,张宇、张綱
张宁,张逊
张逊,张孟成
张孟成,张平
张平,张英、张華
张华,张祎、张韙
张祎,张舆
张舆,张次惠
张次惠,张穆之、张安之、张玄之
张安之,张宏胄、张宏策、张宏興
张宏策,张纟丕、张緬、张綰、张絢、张纘
张缅,张芬、张傳、张佚
张传,张守礼
张守礼,张君政
张君政,张子胄、张子虔、张子卿、张子衝、张子譽、张子猷
张子胄,张弘智、张弘藏、张弘毅、张弘癒
张弘愈,张九章、张九賓、张九皋、张九齡
张九龄,张拯、张挺
张拯,张國器、张藏器、张英器
张藏器,张敦庆
张敦庆,子张景新；次子张景重字隸英[名又作;张棣英]；長子[狀元]张隸實[名又作;张棣實]；三子张隸華[名又作;张棣華]；四子张隸文[名又作;张棣文]；六子张景僖；七子张景禮
张景重,张焴、张爟
张焴,张廷杰
张廷杰,张涉 [字宏澗] ；张淪[字宏澤]；张沼[字宏淵]；张洪[张宏海]；张渥[字宏深] 
张涉,张璲、张璀、张效、张象、张希、张載
张載,张景昌、张日茂、张錫元
张景昌,张端
张端,张仲祥、张孟祥、张邦欽
张仲祥,张賓國、张仕國、张悅國
张宾国,张揚德、张楊行
张扬德,张化龍、张化風、张化孫
张化孙,张吉雲、张慶雲、张禎雲、张祥雲、张集雲、张從雲、张龍雲、张福雲、张自雲、张綿雲、张景雲、张星雲、张卿雲、张帝雲、张闕雲、张倬雲、张彼雲、张定雲
张祥云,张騰先（字定元，號念一郎）[(张騰福（字殿元，號念二郎）、张騰韆（字叔元，號念三郎）、张騰林（字沐元，號念四郎）、张騰壽（字載元，號念五郎）、张騰輝（字仲元，號念六郎）、张騰萬（字兆元，號念七郎)]
张騰輝,张希上、张惟仁（明上）、张金上、张惟義（昭上）、张惟禮（曦上）、张惟信（映上）张曜上、张惟全（晶上）、张惟忠（旺上）、张惟孝、张惟廉、张惟節
张惟義,张昊民、张昊清、张昊國、张昊長、张昊漸、张韆四、张昊民
张昊漸,张敏承、张斐承、张文承、张譽承、张煥承
张敏承,张先傳、张先伊、张先儀、张先彿、张先俸、张先倫、张先偉、张先任
张先俸,张定绍、张克绍、张清绍、张远绍、张球绍、张君绍
张君紹,张啟通、张啟遠、张啟達、张啟先、张啟光、张啟源、张啟明、张啟盛
张启光,
张直福,张全明、张次全、张全书、张四全
张全书,张乾政、张次乾、张瑞溢
张乾政,张朝渊、张朝深、张朝启
张朝深,张大器、张大长
张大长,张日荐
张日荐,张奇月
张奇月,张肇动、张肇云、张肇录、张肇晓、张肇琰
张肇录,张志昆、张志造、张志霜、张志监、张志绒、张志北
张志昆,张元低、张元低、张元低、张元彭、张元华
张元彭,张锺買、张锺苑
张锺買,张洵絺、张洵叩、张洵先知、张洵道
张洵絺,张金水、张金清、张金章、张金桓、张金沐
张金桓,张汉国、张汉英、张汉琪、张汉宗、张汉进、张汉强、张汉业
张汉英,张明昆、张明顺
张明顺,张伟扬、张伟韩
